id;productName;ProductCategoriaName;productDateTime;productPrice;productMassa;productRashod;ShopName;ProductDiscont;productUnit;CategoriaShopping
1;Extra Virgin Oil;"Масло Оливковое
";11.02.2022;3050.0;1.0;2650.0;Магнум;400.0;л;Продукты
2;Carte Noire Crema Delice ;Кофе Зерно;11.02.2022;6200.0;800.0;5590.0;Магнум;610.0;гр;Продукты
3;Батон Нарезной;Хлеб;13.02.2022;140.0;1.0;140.0;СарыаркаHAH,Темиртау,;0.0;шт;Продукты
4;Заводской;Хлеб;13.02.2022;90.0;1.0;90.0;СарыаркаHAH,Темиртау,;0.0;шт;Продукты
5;Заводской;Хлеб;13.02.2022;90.0;1.0;90.0;СарыаркаHAH,Темиртау,;0.0;шт;Продукты
6;Тостовый хлеб;Хлеб;13.02.2022;130.0;1.0;130.0;СарыаркаHAH,Темиртау,;0.0;шт;Продукты
7;Пакет;Пакет;13.02.2022;7.0;2.0;14.0;Металлург;0.0;шт;Продукты
8;Духа океана;Крабовые палочки;15.02.2022;585.0;1.0;585.0;Металлург;0.0;упаковка;Продукты
9;Baker House;Пироженные;15.02.2022;1172.0;1.0;1172.0;Металлург;0.0;упаковка;Продукты
10;RenMilk 3.2 0.5л;Молоко;15.02.2022;157.0;2.0;314.0;Металлург;0.0;шт;Продукты
11;Умка;Печенье;15.02.2022;1284.0;3.0;3852.0;Металлург,Темиртау,;0.0;кг;Продукты
12;Рахат Шоколадка;Шоколад;15.02.2022;432.0;1.0;432.0;Металлург,Темиртау,;0.0;шт;Продукты
13;Тирамису 430гр;Торт;15.02.2022;1224.0;1.0;1224.0;Металлург,Темиртау,;0.0;шт;Продукты
14;Сливочное мороженное 1кг;Мороженное;15.02.2022;1415.0;1.0;1415.0;Металлург,Темиртау,;0.0;кг;К чаю
15;Яйцо Кадомец 0 категория;Яйцо;15.02.2022;315.0;10.0;315.0;Металлург,Темиртау,;0.0;шт;Продукты
16;Пряник Круглый;Пряник;15.02.2022;975.0;43.0;41925.0;Металлург,Темиртау,;0.0;кг;К чаю
17;Картофель;Картофель;15.02.2022;204.0;204.0;41616.0;Металлург,Темиртау,;0.0;кг;Овощи
18;Урсосан 20шт;Лекарства;15.02.2022;6805.0;1.0;6805.0;Аптека Парацельс, Темиртау, Чайковского 26;0.0;упаковка;Сергей
19;Шпигачки Акнар;Шпигачки;13.02.2022;1985.0;1132.0;224702.0;Акнар,Темиртау,пр Республики 6б;0.0;кг;Мясо
20;Сардельки Карагандинские Акнар;Сардельки;13.02.2022;2095.0;1004.0;210338.0;Акнар,Темиртау,пр Республики 6б;0.0;кг;Мясо
21;Грубная часть Акнар;Грудинка;13.02.2022;1400.0;69.0;966.0;Акнар,Темиртау,пр Республики 6б;0.0;кг;Мясо
22;Dino шоколадные лапы;Готовый завтрак;13.02.2022;739.0;1.0;739.0;Метро,Караганда, ;0.0;упаковка;К чаю
23;Мармелад в шоколаде;Конфеты;13.02.2022;1569.0;1.0;1569.0;Метро,Караганда, ;0.0;упаковка;К чаю
24;Сникерс;Шоколад;13.02.2022;210.0;1.0;210.0;Метро,Караганда, ;0.0;шт;К чаю
25;МагКалейдоскоп с маком;Крекер;09.01.2022;1002.0;25.0;2505.0;Металлург,Темиртау,;0.0;кг;К чаю
26;Северные;Пряник;09.01.2022;767.0;35.0;26845.0;Металлург,Темиртау,;0.0;кг;К чаю
27;Сухари Ванильные, Сельпром;Сухари;09.01.2022;827.0;415.0;34321.0;Металлург,Темиртау,;0.0;кг;К чаю
28;Янтарные сладости;Печенье;09.01.2022;1950.0;33.0;6435.0;Металлург,Темиртау,;0.0;кг;К чаю
29;Гречневая крупа;Крупа;09.01.2022;566.0;1.0;566.0;Металлург,Темиртау,;0.0;кг;Продукты
30;Кефир RenMilk 2.5% 0.5л;Кефир;09.01.2022;138.0;1.0;138.0;Металлург,Темиртау,;0.0;шт;Продукты
31;Андреевские;Сосиськи;09.01.2022;1137.0;452.0;51392.0;Металлург,Темиртау,;0.0;кг;Продукты
32;Прага;Пиво;09.01.2022;249.0;1.0;237.0;Металлург,Темиртау,;12.0;л;Сергей
33;Сардельки Карагандинские Акнар;Сардельки;17.02.2022;2095.0;992.0;207824.0;Акнар,Темиртау,пр Республики 6б;0.0;кг;Продукты
34;Докторская ГОСТ Акнар ;Колбаса;17.02.2022;2385.0;688.0;164088.0;Акнар,Темиртау,пр Республики 6б;0.0;кг;Продукты
35;Великокняжеский;Сыр;17.02.2022;3360.0;43.0;14448.0;Акнар,Темиртау,пр Республики 6б;0.0;кг;Продукты
36;Шпигачки в натуральной оболочке;Шпигачки;17.02.2022;1985.0;966.0;191751.0;Акнар,Темиртау,пр Республики 6б;0.0;кг;Продукты
37;пакет Магнум;Пакет;11.02.2022;7.0;10.0;70.0;Магнум,Караганда, ;0.0;шт;Продукты
38;Султан колесики 400гр;Макароны;11.02.2022;255.0;2.0;510.0;Магнум,Караганда, ;0.0;шт;Продукты
39;Белый кот ;Туаленая бумага;11.02.2022;69.0;5.0;345.0;Магнум,Караганда, ;0.0;шт;Бытовая бумага
40;Always Ultra 12шт;Прокладки;11.02.2022;829.0;2.0;1658.0;Магнум,Караганда, ;0.0;шт;Анжелика
41;"Old space ""Space Capitan"" 70мл";Дезодорант;11.02.2022;899.0;1.0;899.0;Магнум,Караганда, ;0.0;шт;Сергей
42;Султан Рожки 12 400гр;Макароны;11.02.2022;255.0;2.0;510.0;Магнум,Караганда, ;0.0;шт;Продукты
43;Султан Лингвини 400гр;Макароны;11.02.2022;305.0;2.0;610.0;Магнум,Караганда, ;0.0;шт;Продукты
44;Султан Спагетти 400гр;Макароны;11.02.2022;298.0;2.0;596.0;Магнум,Караганда, ;0.0;шт;Продукты
45;Султан Улитка 400гр;Макароны;11.02.2022;295.0;1.0;295.0;Магнум,Караганда, ;0.0;шт;Продукты
46;Соль Араптуз помол1 1кг;Соль;11.02.2022;65.0;2.0;130.0;Магнум,Караганда, ;0.0;шт;Продукты
47;Белгородские овощи 400гр в.с.;Кукуруза;11.02.2022;265.0;1.0;265.0;Магнум,Караганда, ;0.0;шт;Продукты
48;капитан морей нат 250 гр;Сардинелла;11.02.2022;645.0;1.0;645.0;Магнум,Караганда, ;0.0;шт;Продукты
49;Рыбачка соня Антлантическая натуральная с добавлением масла 185гр;Скумбрия;11.02.2022;495.0;1.0;495.0;Магнум,Караганда, ;0.0;шт;Продукты
50;Султан Рожки 8 400гр;Макароны;11.02.2022;295.0;1.0;295.0;Магнум,Караганда, ;0.0;шт;Продукты
51;сахар;Сахар;11.02.2022;332.0;3825.0;12699.0;Магнум,Караганда, ;0.0;шт;Продукты
52;Султан Спироль 400гр ;Макароны;11.02.2022;289.0;2.0;578.0;Магнум,Караганда, ;0.0;шт;Продукты
53;Перец Almaty Spices 15гр;Чёрный молотый перец;11.02.2022;95.0;3.0;285.0;Магнум,Караганда, ;0.0;шт;Продукты
54;USAMS для зарядки Type-C зеленый 2А 1.2M ;Кабель;11.02.2022;999.0;1.0;999.0;Магнум,Караганда, ;0.0;шт;Сергей
55;Бахус Казахстан 3 звезды 40% 0.5л;Коньяк;11.02.2022;3029.0;1.0;3029.0;Магнум,Караганда, ;0.0;бутылка;Сергей
56;Майское рафинированное 5л;Масло Подсолнечное;11.02.2022;4499.0;1.0;4499.0;Магнум,Караганда, ;0.0;бутылка;Продукты
57;3 Желания провансаль 67% 800гр;Майонез;11.02.2022;859.0;1.0;859.0;Магнум,Караганда, ;0.0;шт;Продукты
58;Чёрный Жемчуг экстремальное увлажнение д/лица ночной;Крем;11.02.2022;1099.0;2.0;2198.0;Магнум,Караганда, ;0.0;шт;Косметика
59;Бонпари жевательный фруктовый 100гр;Мармелад;11.02.2022;379.0;1.0;379.0;Магнум,Караганда, ;0.0;шт;К чаю
60;Хасанов снеж;Печенье;11.02.2022;1655.0;358.0;59249.0;Магнум,Караганда, ;0.0;кг;К чаю
61;Хасанов Овсяно-медовае;Печенье;11.02.2022;1149.0;424.0;48718.0;Магнум,Караганда, ;0.0;шт;К чаю
62;Барбарис приправыч ягоды сушенные 25гр;Приправы;11.02.2022;385.0;1.0;385.0;Магнум,Караганда, ;0.0;шт;Продукты
63;Барские сладости кунжутные 150 гр;Козинак;11.02.2022;316.0;1.0;316.0;Магнум,Караганда, ;0.0;шт;К чаю
64;Топар тепличный ;Томат;11.02.2022;1079.0;1458.0;157318.0;Магнум,Караганда, ;0.0;кг;Продукты
65;Невский кондитер картошка ;Конфеты;11.02.2022;1335.0;1.0;1335.0;Магнум,Караганда, ;0.0;кг;К чаю
66;Хасанов крекер с июмом;Печенье;11.02.2022;1415.0;324.0;45846.0;Магнум,Караганда, ;0.0;кг;К чаю
67;Garnier увлажнение свежий взгляд 6гр;Патчи;11.02.2022;365.0;1.0;365.0;Магнум,Караганда, ;0.0;шт;Косметика
68;Garnier тканевые зел чай 6 гр;Патчи;11.02.2022;365.0;1.0;365.0;Магнум,Караганда, ;0.0;шт;Косметика
69;Garnier увлажнение вокруг глас 6 гр;Маска;11.02.2022;365.0;1.0;365.0;Магнум,Караганда, ;0.0;шт;Косметика
70;Garnier тканевая увлажнение 32гр;Маска;11.02.2022;485.0;1.0;485.0;Магнум,Караганда, ;0.0;шт;Косметика
71;Garnier тканевая увлажнение;Маска;11.02.2022;485.0;1.0;485.0;Магнум,Караганда, ;0.0;шт;Косметика
72;Garnier skin naturals тканевая д/лица;Маска;11.02.2022;485.0;1.0;485.0;Магнум,Караганда, ;0.0;шт;Косметика
73;Garnier тканевая увлажнение;Маска;11.02.2022;485.0;1.0;485.0;Магнум,Караганда, ;0.0;шт;Косметика
74;Garnier тканевая увлажение 32гр;Маска;11.02.2022;485.0;1.0;485.0;Магнум,Караганда, ;0.0;шт;Косметика
75;Garnier тканевая гиалуронов 32гр;Маска;11.02.2022;485.0;1.0;485.0;Магнум,Караганда, ;0.0;шт;Косметика
76;Чёрный жемчуг питание;Маска;11.02.2022;599.0;1.0;599.0;Магнум,Караганда, ;0.0;шт;Косметика
77;Лесной бальзам 400мл;Ополаскиватель;11.02.2022;619.0;1.0;619.0;Магнум,Караганда, ;0.0;шт;Косметика
78;Pro series rep air (глубокое востановление) 500мл ;Шампунь;11.02.2022;1101.0;1.0;1101.0;Магнум,Караганда, ;0.0;бутылка;Косметика
79;Рахат шоколадно-ореховая 470гр;Паста;11.02.2022;699.0;1.0;699.0;Магнум,Караганда, ;0.0;шт;Косметика
80;гречневая ;Крупа;11.02.2022;525.0;2610.0;137025.0;Магнум,Караганда, ;0.0;кг;Продукты
81;Чистая линия зел чай 400мл;Вода Мицеллярная;11.02.2022;1089.0;1.0;1089.0;Магнум,Караганда, ;0.0;флакон;Продукты
82;в клетку;Тетрадь;11.02.2022;29.0;30.0;870.0;Магнум,Караганда, ;0.0;шт;Канц товары
83;в линейку;Тетрадь;11.02.2022;29.0;20.0;580.0;Магнум,Караганда, ;0.0;шт;Канц товары
84;Seliko деликатесный печеночный 100гр;Паштет;11.02.2022;179.0;1.0;179.0;Магнум,Караганда, ;0.0;шт;Продукты
85;Сибирский уксус 160гр;Кислота уксуса;11.02.2022;245.0;1.0;245.0;Магнум,Караганда, ;0.0;флакон;Продукты
86;Syoss 6 темно-руссый ;Краска для волос;11.02.2022;1341.0;1.0;1341.0;Магнум,Караганда, ;0.0;шт;Косметика
87;для плова  15гр;Приправы;11.02.2022;103.0;1.0;103.0;Магнум,Караганда, ;0.0;шт;Продукты
